ticid,ra,dec,tmag,objname,period,period_err,t0,t0_err,rp_rj,source,updatedate,planetno
427317404,2.2415416666666665,2.9450000000000003,9.711,EBLM J0008+02,4.7223,0.0,1709.0529999999999,0.0,1.0,EBLM,20170724,B
120585579,4.45125,-38.11088888888889,12.452,EBLM J0017-38,6.3401,0.0,1791.7449,0.0,1.0,EBLM,20170724,B
406352710,5.253208333333333,-16.124583333333334,9.188,EBLM J0021-16,5.9673,0.0,1069.3159,0.0,1.0,EBLM,20170724,B
115693377,6.818791666666667,-41.571583333333336,11.329,EBLM J0027-41,4.928,0.0,1311.5215,0.0,1.0,EBLM,20170724,B
38850860,8.918291666666667,-69.8145,11.438,EBLM J0035-69,8.4146,0.0,1232.2357,0.0,1.0,EBLM,20170724,B
328068200,10.006249999999998,1.0945277777777778,10.3,EBLM J0040+01,7.2348,0.0,1400.9647,0.0,1.0,EBLM,20170724,B
92199729,10.642541666666666,-17.298083333333334,9.636,EBLM J0042-17,10.3475,0.0,777.227,0.0,1.0,EBLM,20170724,B
39018208,12.089416666666667,-66.16022222222223,11.055,EBLM J0048-66,6.6493,0.0,1316.3741,0.0,1.0,EBLM,20170724,B
268529943,14.495583333333332,-19.82986111111111,11.009,EBLM J0057-19,4.3005,0.0,632.2772,0.0,1.0,EBLM,20170724,B
180871989,16.079708333333333,-38.308527777777776,10.834,EBLM J0104-38,8.2561,0.0,824.3094,0.0,1.0,EBLM,20170724,B
52079677,17.303625,-67.91897222222222,11.848,EBLM J0109-67,9.03,0.0,1017.5335,0.0,1.0,EBLM,20170724,B
146247270,34.555166666666665,-31.08813888888889,9.33,EBLM J0218-31,8.8841,0.0,1128.6773,0.0,1.0,EBLM,20170724,B
422844353,37.03695833333333,5.596583333333333,9.853,EBLM J0228+05,6.6347,0.0,1787.7005,0.0,1.0,EBLM,20170724,B
64108432,39.872,-20.040000000000003,10.114,EBLM J0239-20,2.7787,0.0,459.7136,0.0,1.0,EBLM,20170724,B
231275247,41.83541666666667,-51.45288888888889,9.077,EBLM J0247-51,4.0079,0.0,1322.1115,0.0,1.0,EBLM,20170724,B
89045042,47.594249999999995,-31.126583333333333,8.854,EBLM J0310-31,12.6428,0.0,1668.2438,0.0,1.0,EBLM,20170724,B
88571421,48.86054166666667,-24.26263888888889,10.956,EBLM J0315-24,3.1905,0.0,688.6659,0.0,1.0,EBLM,20170724,B
12529950,51.68750000000001,-9.342111111111112,11.998,EBLM J0326-09,2.4004,0.0,1608.8353,0.0,1.0,EBLM,20170724,B
374827241,54.790124999999996,3.09375,10.934,EBLM J0339+03,3.5807,0.0,1043.6536,0.0,1.0,EBLM,20170724,B
38677487,57.752250000000004,-7.098583333333333,10.228,EBLM J0351-07,4.0809,0.0,642.7425,0.0,1.0,EBLM,20170724,B
362043085,58.28725,5.609249999999999,10.297,EBLM J0353+05,6.862,0.0,1108.5117,0.0,1.0,EBLM,20170724,B
279454212,58.47716666666667,-16.95425,10.071,EBLM J0353-16,11.7612,0.0,870.8052,0.0,1.0,EBLM,20170724,B
237342298,60.236916666666666,-51.12430555555556,11.726,EBLM J0400-51,2.6921,0.0,1593.3853,0.0,1.0,EBLM,20170724,B
153741139,66.38208333333334,-46.218805555555555,10.367,EBLM J0425-46,16.5879,0.0,1716.2169,0.0,1.0,EBLM,20170724,B
