src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
spoc,270341214,00173.01,PC,33.458316,-80.582809,8.866,0.018,1333.41089,0.000959,,,7.943456,0.110177,3959.722447,110.3395,1,2018-08-30 14:17:58.148316+00:00,2018-11-13 21:58:49.369498+00:00
spoc,369456296,?.01,PC,311.658708,-40.538679,11.053,0.018,1331.771281,0.000484,14.684454,0.000674,5.998866,0.041363,36834.968876,250.14395,1,2018-08-30 14:18:10.110076+00:00,2018-09-04 21:14:32.766094+00:00
spoc,41364284,?.01,,92.839097,-69.760255,7.688,0.019,1325.70826,0.001058,0.505283,4.1e-05,1.692761,0.200366,164.684349,12.541533,1,2018-08-30 14:17:25.771468+00:00,2018-08-31 21:19:39.208867+00:00
spoc,410214986,00200.02,IS,354.914556,-69.195787,7.771,0.018,1327.323399,0.000803,13.124298,0.001111,3.188972,0.081323,4289.675917,230.6353,1,2018-08-30 14:18:14.626068+00:00,2018-08-31 20:58:45.671515+00:00
spoc,325094050,?.02,EB,327.97417,-67.609657,10.112,0.018,1325.438889,0.000995,0.26189,2.2e-05,1.146353,0.150223,395.171692,31.689934,1,2018-08-30 14:18:06.432736+00:00,2018-08-31 20:58:45.666807+00:00
spoc,308991822,?.03,IS,123.113165,-65.544838,9.043,0.018,1331.978168,0.008837,9.676858,0.006136,7.545409,0.623736,388.310095,59.884033,1,2018-08-30 14:18:05.459334+00:00,2018-08-31 20:58:45.662140+00:00
spoc,284196481,?.02,EB,105.792633,-70.541634,7.744,0.019,1325.689715,0.001329,0.665607,6.5e-05,2.093542,0.162168,164.389905,11.56379,1,2018-08-30 14:18:01.583280+00:00,2018-08-31 20:58:45.657409+00:00
spoc,269829384,?.03,IS,308.466513,-26.342855,11.865,0.018,1326.602533,0.002449,5.06653,0.003417,1.211462,0.201669,8519.803969,1563.5798,1,2018-08-30 14:17:57.666548+00:00,2018-08-31 20:58:45.652477+00:00
spoc,265489698,?.03,IS,321.768213,-62.653817,8.78,0.019,1325.370714,0.002177,0.288827,2.8e-05,1.359128,3.980252,1625.208934,18000.467,1,2018-08-30 14:17:56.242956+00:00,2018-08-31 20:58:45.647725+00:00
spoc,260162387,?.02,IS,92.824758,-55.551084,10.029,0.018,1326.488964,0.00206,17.462455,0.002964,3.645772,0.236395,3395.35526,432.5625,1,2018-08-30 14:17:54.502378+00:00,2018-08-31 20:58:45.642911+00:00
spoc,237915523,?.02,EB,56.185547,-61.098292,8.949,0.018,1330.52669,0.012364,5.78924,0.007736,11.34721,0.504045,6421.79105,2407.0518,1,2018-08-30 14:17:53.479779+00:00,2018-08-31 20:58:45.637847+00:00
