src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
qlp,278683844,119.02,,99.23842,-58.01615,9.234,0.018,1328.047341,0,10.690499,0,3.571482,0,460,0,2,2018-10-10 16:53:19.426275+00:00,2018-10-10 16:56:40.782837+00:00
qlp,278683844,119.01,,99.23842,-58.01615,9.234,0.018,1327.593129,0,5.545763,0,3.071909,0,440,0,2,2018-10-10 16:53:19.415043+00:00,2018-10-10 16:56:08.533413+00:00
qlp,219993473,?.01,V,31.22157,-53.77118,12.189,0.017,1354.503595,0,0.699651,0,3.111152,0,2250,0,2,2018-09-28 18:08:51.948557+00:00,2018-10-05 15:47:22.774889+00:00
qlp,149838872,?.01,EB,352.05574,-34.13152,12.953,0.018,1354.908325,0,3.002472,0,2.334722,0,50450,0,2,2018-09-28 18:08:51.971312+00:00,2018-10-05 15:47:22.770433+00:00
qlp,198077394,?.01,PC,63.8252,-56.25367,10.671,0.019,1355.686256,0,3.989557,0,4.048283,0,3130,0,2,2018-09-28 18:08:56.792466+00:00,2018-10-05 15:47:22.765983+00:00
qlp,314829380,?.01,V,52.78808,-74.68598,12.35,0.018,1325.644672,0,0.526119,0,1.260918,0,890,0,2,2018-09-28 18:08:56.837380+00:00,2018-10-05 15:47:22.761543+00:00
qlp,10000252982,?.01,EB,73.51532,-69.19905,12.748,1,1325.972625,0,1.112277,0,7.808985,0,44590,0,2,2018-09-28 18:08:56.882069+00:00,2018-10-05 15:47:22.757057+00:00
qlp,154843101,?.01,V,346.08058,-33.34218,13.597,0.059,1354.336293,0,0.288799,0,0.857733,0,2890,0,2,2018-09-28 18:08:52.732011+00:00,2018-10-05 15:47:22.752592+00:00
qlp,272236017,?.01,PC,117.86757,-72.28505,12.591,0.019,1326.212115,0,2.415808,0,3.440497,0,3640,0,2,2018-09-28 18:08:52.798376+00:00,2018-10-05 15:47:22.748061+00:00
qlp,10000253097,?.01,EB,74.31374,-68.44147,12.477,0.17,1327.095356,0,2.698679,0,4.893892,0,8230,0,2,2018-09-28 18:08:52.820339+00:00,2018-10-05 15:47:22.743605+00:00
qlp,316976845,?.01,EB,55.68303,-60.70034,13.342,0.018,1354.373824,0,0.685839,0,0.84457,0,4480,0,2,2018-09-28 18:08:52.887169+00:00,2018-10-05 15:47:22.739127+00:00
qlp,10000089885,?.01,EB,18.46206,-73.30029,13.128,0.008,1360.98215,0,9.318812,0,8.94606,0,26400,0,2,2018-09-28 18:08:52.932406+00:00,2018-10-05 15:47:22.734684+00:00
qlp,30274898,?.01,IS,74.12528,-66.93989,12.4,0.018,1340.091662,0,0.104065,0,0.096556,0,4110,0,2,2018-09-28 18:08:52.976873+00:00,2018-10-05 15:47:22.730219+00:00
qlp,167304394,?.01,EB,98.00122,-67.30476,11.47,0.032,1326.370935,0,11.391811,0,3.108597,0,29280,0,2,2018-09-28 18:08:53.042724+00:00,2018-10-05 15:47:22.725747+00:00
