row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg
0,270341214,00173.01,PC,33.458315999999996,-80.582809,8.866,1333.41089,,7.943455999999999,3959.722447,1,3.0,3.0,1.4167963,1.28821,6667.467,4.20097
1,369456296,?.01,PC,311.658708,-40.538678999999995,11.052999999999999,1331.771281,14.684454,5.9988660000000005,36834.968876,1,1.0,1.0,1.4068513,1.05477,5634.133,4.24763
2,41364284,?.01,,92.839097,-69.760255,7.688,1325.7082599999999,0.505283,1.692761,164.684349,1,4.0,2.0,1.9523096,1.6297,7156.0,4.08061
3,410214986,00200.02,IS,354.914556,-69.195787,7.771,1327.323399,13.124298000000001,3.188972,4289.6759170000005,1,3.0,2.0,0.88351744,1.02849,5597.5,
4,325094050,?.02,EB,327.97417,-67.609657,10.112,1325.438889,0.26189,1.146353,395.171692,1,2.0,1.0,0.7491345,0.770654,4929.6533,4.52705
5,308991822,?.03,IS,123.113165,-65.544838,9.043,1331.9781679999999,9.676858,7.545408999999999,388.31009500000005,1,4.0,3.0,1.2352053,1.19516,6082.1997,4.28405
6,284196481,?.02,EB,105.79263300000001,-70.541634,7.744,1325.689715,0.665607,2.093542,164.389905,1,4.0,3.0,,2.16375,9012.0,3.98656
7,269829384,?.03,IS,308.46651299999996,-26.342855,11.865,1326.602533,5.06653,1.211462,8519.803969,1,1.0,4.0,2.1150806,1.14023,6372.6665,4.28947
8,265489698,?.03,IS,321.768213,-62.653817000000004,8.78,1325.3707140000001,0.288827,1.3591280000000001,1625.208934,1,2.0,1.0,2.1462748,1.28487,6506.3125,3.83127
9,260162387,?.02,IS,92.824758,-55.551083999999996,10.029,1326.4889640000001,17.462455,3.645772,3395.3552600000003,1,4.0,4.0,1.49418,0.987806,5591.0,4.08429
10,237915523,?.02,EB,56.185547,-61.098292,8.949,1330.5266900000001,5.78924,11.34721,6421.79105,1,4.0,1.0,1.1696501,1.0363,5853.0,4.21252
11,410214986,00200.01,PC,354.914556,-69.195787,7.771,1332.309957,16.275795000000002,3.253514,5165.149797,1,3.0,2.0,0.88351744,1.02849,5597.5,
12,232063593,?.03,IS,339.716046,-60.652473,9.402999999999999,1325.860807,1.235128,0.713517,5788.254653,1,2.0,1.0,4.2435794,1.30299,6326.3335,4.23182
13,231828370,?.02,IS,23.020541,-63.049553,9.043,1335.2452529999998,13.338638000000001,1.54609,6802.053457999999,1,3.0,1.0,2.7249448,1.03063,5815.15,4.34886
