row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg,SN,Qingress
0,278825952,0.01,EB,100.470619,-55.794991,11.512,1326.555018,2.390579,4.94276114,904050,1,4,4,1.21467,1.10214,6201.86,4.31228,670.96572,0.50281
1,306736831,0.01,J,120.987058,-66.880424,11.348,1325.814352,0.454174,2.475320968,10500,1,4,3,0.85440576,,3921.3333,,17.8609,-0.08136
2,79328890,0.01,J,319.530884,-51.78575,11.426,1325.883982,0.744124,1.972523899,127090,1,2,4,0.8660288,,5066.3677,,41.8925,0.41595
3,309257799,0.01,J,124.257448,-63.226048,11.142,1331.467468,8.636974,20.22710215,43260,1,4,3,2.604132,,5020,,10.3011,0.18909
4,149248969,0.01,EB,82.525019,-65.661595,10.771,1325.509738,0.251788,1.178005265,1060,1,4,1,1.1468053,1.10472,6096,4.33697,17.25128,-0.06465
5,309254945,0.01,J,124.280981,-65.647293,11.551,1331.496467,12.910471,13.62416184,49940,1,4,3,6.150438,,4737,,3.63433,0.17296
6,234307140,0.01,J,34.944437,-70.630401,11.939,1325.676425,0.293281,2.027721372,286490,1,3,4,1.166278,0.881599,5170,4.4617,64.02203,0.44051
7,290047893,0.01,J,319.100764,-24.216597,10.532,1326.114719,0.278417,1.679455891,42440,1,1,4,1.44004,1.15146,6067.9,4.18,40.59986,0.41616
8,139148075,0.01,J,344.556319,-42.308167,11.795,1326.299856,13.535064,3.901346847,3430,1,2,3,0.7819772,1.12558,5965,4.29585,7.99524,0.18603
9,141944605,0.01,J,95.563074,-74.027612,11.994,1325.898687,0.629523,7.398204658,24390,1,4,2,2.239797,1.16054,5834,4.28109,66.66682,-1.43052
10,302924377,0.01,J,34.917997,-61.636028,9.352,1325.517763,0.254643,2.408026437,374640,1,3,4,1.9114994,1.40914,6432.233,4.10356,85.29201,-0.86427
11,237316265,0.01,EB,344.212059,-63.974042,10.011,1325.645951,0.376968,1.466465835,1670,1,2,1,,,4862,,40.47921,0.48492
12,261644661,0.01,J,350.948701,-74.899666,10.664,1325.576272,0.167067,1.590170437,197390,1,3,2,1.4754108,0.905791,5178.147,4.06779,78.60594,-1.03202
13,394287253,0.01,J,31.501365,-81.908777,10.958,1325.775649,0.765345,5.91587194,3140,1,3,3,1.5590209,1.1394,5852.6665,3.903,53.40938,0.49621
14,273734524,0.01,J,340.868294,-79.432093,11.632,1325.774794,0.361089,2.129009631,1910,1,3,2,2.0011072,1.01419,5440,4.36076,29.10232,-0.03166
15,231089993,0.01,EB,68.589152,-66.088512,11.581,1325.903075,0.473141,2.084621395,1740,1,4,1,0.7257794,,5037,,22.20462,0.32547
16,139935539,0.01,EB,327.536862,-53.788508,11.826,1325.550393,2.525449,1.516481616,8580,1,2,4,1.3055596,1.20155,5873.5024,4.23,14.69791,0.28754
17,278709999,0.01,EB,335.194361,-40.061596,8.603,1326.045959,0.122689,0.647915701,1800,1,1,2,3.580644,1.4733,7098.233,3.50585,31.27324,-0.16334
18,231240938,0.01,J,330.645727,-48.279779,11.623,1325.668938,0.30398,1.722691138,317290,1,2,4,1.86535,0.6857,4385,3.73304,51.89947,0.43042
19,197959099,0.01,J,348.171583,-51.933618,10.876,1325.65304,0.503496,2.707277852,20810,1,2,2,2.0291178,1.26151,7098.2734,4.24488,29.9158,-0.12293
20,167570998,0.01,EB,101.213783,-64.297935,10.349,1325.471168,0.505229,1.630515447,4700,1,4,3,25.490852,,4191.07,,19.96659,0.09246
21,273985435,0.01,J,30.635849,-82.033266,9.669,1325.58271,0.472918,3.526681943,142300,1,3,3,1.8923916,1.53464,6564.293,4.0274,86.73502,0.6139
22,234503282,0.01,EB,11.595497,-63.473076,10.912,1326.081925,1.438445,2.92579713,21990,1,3,1,1.5130875,1.3562,6695.6665,4.13,131.21981,0.41938
23,309146882,0.01,EB,123.718886,-62.881519,11.016,1327.674134,5.429176,4.99701359,6330,1,4,3,,,3815,,17.88616,0.38825
24,300141210,0.01,EB,108.547015,-66.112335,11.988,1325.66893,1.929049,5.533438476,68490,1,4,3,3.3310752,1.22188,5829.3335,4.25821,8.30647,0.23717
25,232085479,0.01,J,30.804173,-68.426781,11.599,1325.612816,0.973287,5.419028427,64870,1,3,4,1.3980725,1.10734,6290,4.30427,19.41912,0.50871
26,140044270,0.01,EB,329.324695,-53.028771,11.668,1326.096566,1.995553,1.996191577,2380,1,2,4,,,5014.533,,16.12177,0.21554
27,267047103,0.01,J,5.254098,-75.791848,11.24,1325.46451,0.271877,1.357405735,1150900,1,3,2,0.9461195,,4440.605,,62.80644,0.47775
28,139993154,0.01,J,328.293291,-48.068184,11.31,1325.533906,0.254634,2.541654734,245310,1,2,4,1.7365007,1.34878,7241.3335,4.21825,80.49406,-1.10524
29,231705838,0.01,EB,336.566793,-59.042027,10.531,1325.669629,0.77943,1.757458764,2620,1,2,1,1.9959443,1.14564,6387,3.93,34.30134,0.42672
30,201227899,0.01,J,358.696021,-50.927197,11.373,1325.58806,1.159804,10.28040987,40830,1,2,2,0.93263257,,4919.35,,31.53741,-0.64434
31,147271352,0.01,J,324.719307,-43.019558,11.894,1326.167567,0.904109,8.233539841,43990,1,1,1,1.5140015,0.821096,4971.5,4.49842,66.9768,0.40611
32,197757967,0.01,EB,331.407184,-37.583352,10.456,1326.480974,1.110471,1.876251802,2780,1,1,2,4.060382,,5035.22,,31.37661,0.44708
33,308600649,0.01,EB,121.415288,-63.241241,11.039,1326.79351,1.625239,7.531617564,10530,1,4,3,2.1510339,1.45498,6191.75,,36.26794,0.71027
34,197954622,0.01,J,347.267544,-47.997765,11.262,1325.577327,0.532558,2.277899682,61190,1,2,3,1.2460341,1.05124,6351,4.081,41.28897,-0.04118
35,139915712,0.01,J,327.118685,-51.649565,11.407,1325.530913,0.14608,1.216834714,382630,1,2,4,1.060426,0.803091,5623.5,4.0824,81.54229,-0.54055
36,327671241,0.01,J,330.928493,-71.537863,11.26,1325.496392,0.246529,2.506785761,4920,1,3,2,2.19915,2.13623,9129.25,4.08357,57.77838,-0.75726
37,206537129,0.01,J,332.916088,-23.316601,11.18,1327.412772,4.540298,11.5777599,2920,1,1,3,1.07521,0.996812,5854.4155,4.37405,9.17878,0.19139
38,260160453,0.01,J,92.708146,-59.800584,7.585,1331.243648,8.681643,11.90982513,1050,1,4,4,1.7068919,1.3525,6469.7,,7.59698,0.20575
39,197757889,0.01,EB,331.500805,-37.280376,11.752,1326.092804,0.601374,1.609998473,17660,1,1,2,6.2112145,,4751.96,,48.40126,0.4144
